Scenario,IRDNumber,"Employee, Tax Code",Pay Period Start Date,Pay Period End Date,Payment Date,Freq.,Start Date,Finish Date,Gross Earnings,Gross Earnings non ACC,Lump sum,SLCIR,SLBOR,Child Support,KiwiSaver Employee,KiwiSaver Employer,Payroll Giving,ESCT Rate,Empty,PAYE,KiwiSaver Employee Deduction Amount,KiwiSaver Employer Deduction Amount,Child Support  Deduction Amount,Payroll Giving Tax Credit,Student Loan Deduction Amount,ESCT,Tax Year
1.1.4,048125484,"Beth Woodard, CAE",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125492,"Julia Desai, EDW",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125506,"Jerome Wallace, ND",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,268.13,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125514,"Neal Lawrence, NSW",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0,0,23.81,0.175,,68.72,0,0,20.99,7.93,0,0,2020
1.2.1,048125530,"Kristine Dougherty, M",18/02/2019,03/03/2019,05/03/2019,Fortnightly,,,4615.38,0,,N,,0,0,0,0,0.3,,1237.98,0,0,0,0,0,0,2019
1.2.2,048125530,"Kristine Dougherty, M",4/03/2019,17/03/2019,19/03/2019,Fortnightly,,,4615.38,0,,N,,0,0,0,0,0.3,,1237.98,0,0,0,0,0,0,2019
1.2.3,048125530,"Kristine Dougherty, M",18/03/2019,31/03/2019,02/04/2019,Fortnightly,,,4615.38,0,,N,,0,0,0,0,0.3,,1237.98,0,0,0,0,0,0,2019
1.2.4,048125530,"Kristine Dougherty, M",1/04/2019,14/04/2019,16/04/2019,Fortnightly,,,4615.38,0,,N,,0,0,0,0,0.3,,1237.98,0,0,0,0,0,0,2020
1.2.5,048125530,"Kristine Dougherty, M",15/04/2019,28/04/2019,30/04/2019,Fortnightly,,,4615.38,0,,N,,0,0,0,0,0.3,,1237.98,0,0,0,0,0,0,2020
1.3.1,048125786,"Patricia Mangum, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,269.23,0,,N,,0,0,0,0,0.105,,32,0,0,0,0,0,0,2020
1.3.1,048125794,"Lois Joseph, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,269.25,0,,N,,0,0,0,0,0.105,,32.01,0,0,0,0,0,0,2020
1.3.1,048125808,"Louis Rosenthal, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,923.08,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.1,048125816,"Christina Bowden, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,923.1,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.1,048125824,"Darlene Barton, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,1346.15,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.1,048125832,"Harvey Underwood, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,1346.17,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.1,048126022,"Allan Marsh, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,2428.56,0,,N,,0,0,0,0,0.330,,660.56,0,0,0,0,0,0,2020
1.3.1,048126030,"Melanie Hewitt, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,2428.60,0,,N,,0,0,0,0,0.330,,660.57,0,0,0,0,0,0,2020
1.3.1,048126286,"Dana McLean, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,408,0,,N,,0,0,0,0,0.175,,58.22,0,0,0,0,0,0,2020
1.3.1,048175660,"Max Schultz, M",25/11/2019,01/12/2019,03/12/2019,Weekly,,,510,0,,N,,0,0,0,0,0.175,,77.49,0,0,0,0,0,0,2020
1.3.2,048125786,"Patricia Mangum, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,269.23,0,,N,,0,0,0,0,0.105,,32,0,0,0,0,0,0,2020
1.3.2,048125794,"Lois Joseph, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,269.25,0,,N,,0,0,0,0,0.105,,32.01,0,0,0,0,0,0,2020
1.3.2,048125808,"Louis Rosenthal, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,923.08,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.2,048125816,"Christina Bowden, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,923.1,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.2,048125824,"Darlene Barton, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,1346.15,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.2,048125832,"Harvey Underwood, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,1346.17,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.2,048126022,"Allan Marsh, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,2428.56,0,,N,,0,0,0,0,0.330,,660.56,0,0,0,0,0,0,2020
1.3.2,048126030,"Melanie Hewitt, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,2428.60,0,,N,,0,0,0,0,0.330,,660.57,0,0,0,0,0,0,2020
1.3.2,048126286,"Dana McLean, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,408,0,,N,,0,0,0,0,0.175,,58.22,0,0,0,0,0,0,2020
1.3.2,048175660,"Max Schultz, M",02/12/2019,08/12/2019,10/12/2019,Weekly,,,510,0,,N,,0,0,0,0,0.175,,77.49,0,0,0,0,0,0,2020
1.3.2,048125840,"William Jones, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,538.46,0,,N,,0,0,0,0,0.105,,64,0,0,0,0,0,0,2020
1.3.2,048125859,"Frederick Baker, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,538.5,0,,N,,0,0,0,0,0.105,,64.02,0,0,0,0,0,0,2020
1.3.2,048125867,"Shirley Merritt, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,1846.15,0,,N,,0,0,0,0,0.175,,311.02,0,0,0,0,0,0,2020
1.3.2,048125875,"Jason Cross, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,1846.19,0,,N,,0,0,0,0,0.175,,311.04,0,0,0,0,0,0,2020
1.3.2,048125883,"Judith Cooper, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,2692.31,0,,N,,0,0,0,0,0.300,,576.64,0,0,0,0,0,0,2020
1.3.2,048125891,"Getchen Holmes, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,2692.35,0,,N,,0,0,0,0,0.300,,576.66,0,0,0,0,0,0,2020
1.3.2,048126049,"Marianne Branch, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,4857.12,0,,N,,0,0,0,0,0.330,,1321.12,0,0,0,0,0,0,2020
1.3.2,048126057,"Natalie Walton, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,4857.19,0,,N,,0,0,0,0,0.330,,1321.14,0,0,0,0,0,0,2020
1.3.2,048175678,"Jennifer Christian, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,816,0,,N,,0,0,0,0,0.175,,116.44,0,0,0,0,0,0,2020
1.3.2,048125891,"Holly Perez, M",25/11/2019,08/12/2019,10/12/2019,Fortnightly,,,1020.00,0,,N,,0,0,0,0,0.175,,154.98,0,0,0,0,0,0,2020
1.3.3,048125786,"Patricia Mangum, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,269.23,0,,N,,0,0,0,0,0.105,,32,0,0,0,0,0,0,2020
1.3.3,048125794,"Lois Joseph, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,269.25,0,,N,,0,0,0,0,0.105,,32.01,0,0,0,0,0,0,2020
1.3.3,048125808,"Louis Rosenthal, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,923.08,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.3,048125816,"Christina Bowden, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,923.1,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.3,048125824,"Darlene Barton, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,1346.15,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.3,048125832,"Harvey Underwood, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,1346.17,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.3,048126022,"Allan Marsh, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,2428.56,0,,N,,0,0,0,0,0.330,,660.56,0,0,0,0,0,0,2020
1.3.3,048126030,"Melanie Hewitt, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,2428.60,0,,N,,0,0,0,0,0.330,,660.57,0,0,0,0,0,0,2020
1.3.3,048126286,"Dana McLean, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,408,0,,N,,0,0,0,0,0.175,,58.22,0,0,0,0,0,0,2020
1.3.3,048175660,"Max Schultz, M",09/12/2019,15/12/2019,17/12/2019,Weekly,,,510,0,,N,,0,0,0,0,0.175,,77.49,0,0,0,0,0,0,2020
1.3.4,048125786,"Patricia Mangum, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,269.23,0,,N,,0,0,0,0,0.105,,32,0,0,0,0,0,0,2020
1.3.4,048125794,"Lois Joseph, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,269.25,0,,N,,0,0,0,0,0.105,,32.01,0,0,0,0,0,0,2020
1.3.4,048125808,"Louis Rosenthal, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,923.08,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.4,048125816,"Christina Bowden, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,923.1,0,,N,,0,0,0,0,0.175,,155.52,0,0,0,0,0,0,2020
1.3.4,048125824,"Darlene Barton, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,1346.15,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.4,048125832,"Harvey Underwood, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,1346.17,0,,N,,0,0,0,0,0.300,,288.32,0,0,0,0,0,0,2020
1.3.4,048126022,"Allan Marsh, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,2428.56,0,,N,,0,0,0,0,0.330,,660.56,0,0,0,0,0,0,2020
1.3.4,048126030,"Melanie Hewitt, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,2428.60,0,,N,,0,0,0,0,0.330,,660.57,0,0,0,0,0,0,2020
1.3.4,048126286,"Dana McLean, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,408,0,,N,,0,0,0,0,0.175,,58.22,0,0,0,0,0,0,2020
1.3.4,048175660,"Max Schultz, M",16/12/2019,22/12/2019,24/12/2019,Weekly,,,510,0,,N,,0,0,0,0,0.175,,77.49,0,0,0,0,0,0,2020
1.3.4,048125840,"William Jones, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,538.46,0,,N,,0,0,0,0,0.105,,64,0,0,0,0,0,0,2020
1.3.4,048125859,"Frederick Baker, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,538.5,0,,N,,0,0,0,0,0.105,,64.02,0,0,0,0,0,0,2020
1.3.4,048125867,"Shirley Merritt, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,1846.15,0,,N,,0,0,0,0,0.175,,311.02,0,0,0,0,0,0,2020
1.3.4,048125875,"Jason Cross, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,1846.19,0,,N,,0,0,0,0,0.175,,311.04,0,0,0,0,0,0,2020
1.3.4,048125883,"Judith Cooper, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,2692.31,0,,N,,0,0,0,0,0.300,,576.64,0,0,0,0,0,0,2020
1.3.4,048125891,"Getchen Holmes, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,2692.35,0,,N,,0,0,0,0,0.300,,576.66,0,0,0,0,0,0,2020
1.3.4,048126049,"Marianne Branch, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,4857.12,0,,N,,0,0,0,0,0.330,,1321.12,0,0,0,0,0,0,2020
1.3.4,048126057,"Natalie Walton, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,4857.19,0,,N,,0,0,0,0,0.330,,1321.14,0,0,0,0,0,0,2020
1.3.4,048175678,"Jennifer Christian, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,816,0,,N,,0,0,0,0,0.175,,116.44,0,0,0,0,0,0,2020
1.3.4,048125891,"Holly Perez, M",09/12/2019,22/12/2019,24/12/2019,Fortnightly,,,1020.00,0,,N,,0,0,0,0,0.175,,154.98,0,0,0,0,0,0,2020
1.3.4,048125905,"Don Sharpe, M",01/12/2019,29/12/2019,24/12/2019,4 Weekly,,,1076.92,0,,N,,0,0,0,0,0.105,,128,0,0,0,0,0,0,2020
1.3.4,048125913,"Glenda Morgan, M",01/12/2019,29/12/2019,24/12/2019,4 Weekly,,,1077.00,0,,N,,0,0,0,0,0.105,,128.04,0,0,0,0,0,0,2020
1.3.4,048125921,"Scott Hoyle, M",01/12/2019,29/12/2019,24/12/2019,4 Weekly,,,3692.31,0,,N,,0,0,0,0,0.175,,622.08,0,0,0,0,0,0,2020
1.3.4,048125930,"Pat Allen, M",01/12/2019,29/12/2019,24/12/2019,4 Weekly,,,3692.38,0,,N,,0,0,0,0,0.175,,622.08,0,0,0,0,0,0,2020
